,IMEX,YR,MONTH_C,VALUE
146,ส่งออก,2558,02,89258961081
147,นำเข้า,2558,02,35982235702
148,นำเข้า,2558,01,41294092666
149,ส่งออก,2558,01,91824097968
150,ส่งออก,2557,12,114750396337
151,นำเข้า,2557,12,36078579234
152,ส่งออก,2557,11,103098645208
153,นำเข้า,2557,11,37144671302
154,นำเข้า,2557,10,41639513244
155,ส่งออก,2557,10,118100774696
156,นำเข้า,2557,09,42776556204
157,ส่งออก,2557,09,107367199471
158,นำเข้า,2557,08,30998647755
159,ส่งออก,2557,08,106982286980
160,นำเข้า,2557,07,38518397263
161,ส่งออก,2557,07,111275863825
162,ส่งออก,2557,06,108030723732
163,นำเข้า,2557,06,31825539700
164,นำเข้า,2557,05,40323352301
165,ส่งออก,2557,05,110853867564
166,ส่งออก,2557,04,99042284271
167,นำเข้า,2557,04,36335511054
168,นำเข้า,2557,03,38113441148
169,ส่งออก,2557,03,111627201259
170,ส่งออก,2557,02,107990521002
171,นำเข้า,2557,02,32948867777
172,ส่งออก,2557,01,108589676941
173,นำเข้า,2557,01,41412097257
174,ส่งออก,2556,12,113917721076
175,นำเข้า,2556,12,36409945049
176,ส่งออก,2556,11,107780137728
177,นำเข้า,2556,11,35167505979
178,นำเข้า,2556,10,39307809359
179,ส่งออก,2556,10,113231001373
180,นำเข้า,2556,09,34006677967
181,ส่งออก,2556,09,102451112284
182,นำเข้า,2556,08,34086024931
183,ส่งออก,2556,08,102042702632
184,นำเข้า,2556,07,36439596003
185,ส่งออก,2556,07,104297588942
186,ส่งออก,2556,06,96392923001
187,นำเข้า,2556,06,36666765446
188,นำเข้า,2556,05,38802778093
189,ส่งออก,2556,05,103887242074
190,ส่งออก,2556,04,98863546265
191,นำเข้า,2556,04,34369210981
192,นำเข้า,2556,03,29347865802
193,ส่งออก,2556,03,113378834264
194,ส่งออก,2556,02,102327588649
195,นำเข้า,2556,02,29008686389
196,ส่งออก,2556,01,109774526811
197,นำเข้า,2556,01,48045893092
198,ส่งออก,2555,12,103788569238
199,นำเข้า,2555,12,33881981229
200,ส่งออก,2555,11,109890460624
201,นำเข้า,2555,11,41409611613
202,นำเข้า,2555,10,37657570986
203,ส่งออก,2555,10,114992461190
204,นำเข้า,2555,09,32010545405
205,ส่งออก,2555,09,99435691274
206,นำเข้า,2555,08,38627904210
207,ส่งออก,2555,08,115173596357
208,นำเข้า,2555,07,38272982719
209,ส่งออก,2555,07,115921586085
210,ส่งออก,2555,06,108153351503
211,นำเข้า,2555,06,34340516259
212,นำเข้า,2555,05,40738857033
213,ส่งออก,2555,05,129588067439
214,ส่งออก,2555,04,105683270874
215,นำเข้า,2555,04,31886557631
216,นำเข้า,2555,03,37640269236
217,ส่งออก,2555,03,114073607997
218,ส่งออก,2555,02,121951024207
219,นำเข้า,2555,02,33529143412
220,ส่งออก,2555,01,103284174352
221,นำเข้า,2555,01,35716501679
222,ส่งออก,2554,12,112661503160
223,นำเข้า,2554,12,35325057514
224,ส่งออก,2554,11,112186709626
225,นำเข้า,2554,11,32307211118
226,นำเข้า,2554,10,30377845246
227,ส่งออก,2554,10,120327315115
228,นำเข้า,2554,09,30125726448
229,ส่งออก,2554,09,120034403937
230,นำเข้า,2554,08,31187101540
231,ส่งออก,2554,08,132331497692
232,นำเข้า,2554,07,32471557009
233,ส่งออก,2554,07,123564343852
234,ส่งออก,2554,06,128938611813
235,นำเข้า,2554,06,31803247623
236,นำเข้า,2554,05,34879856270
237,ส่งออก,2554,05,131242233439
238,ส่งออก,2554,04,106141115230
239,นำเข้า,2554,04,29351679288
240,นำเข้า,2554,03,33725159188
241,ส่งออก,2554,03,141154352624
242,ส่งออก,2554,02,112508073082
243,นำเข้า,2554,02,29147437297
244,ส่งออก,2554,01,103887950339
245,นำเข้า,2554,01,31194789907
246,ส่งออก,2553,12,104148392308
247,นำเข้า,2553,12,30127540337
248,ส่งออก,2553,11,98861305659
249,นำเข้า,2553,11,27855702504
250,นำเข้า,2553,10,26953014809
251,ส่งออก,2553,10,91281128279
252,นำเข้า,2553,09,27244225411
253,ส่งออก,2553,09,94749239143
254,นำเข้า,2553,08,26556704224
255,ส่งออก,2553,08,89212333590
256,นำเข้า,2553,07,28476004828
257,ส่งออก,2553,07,88555993272
258,ส่งออก,2553,06,103573046124
259,นำเข้า,2553,06,27003565635
260,นำเข้า,2553,05,23663843648
261,ส่งออก,2553,05,90712040527
262,ส่งออก,2553,04,83268520233
263,นำเข้า,2553,04,24313315373
264,นำเข้า,2553,03,25290897182
265,ส่งออก,2553,03,108169112548
266,ส่งออก,2553,02,93149719578
267,นำเข้า,2553,02,22582410074
268,ส่งออก,2553,01,90049088765
269,นำเข้า,2553,01,22522894387
270,ส่งออก,2552,12,94779442169
271,นำเข้า,2552,12,25076166683
272,ส่งออก,2552,11,89397436386
273,นำเข้า,2552,11,23826349337
274,นำเข้า,2552,10,25182128674
275,ส่งออก,2552,10,90432840275
276,นำเข้า,2552,09,27775061268
277,ส่งออก,2552,09,85154096667
278,นำเข้า,2552,08,22772062882
279,ส่งออก,2552,08,81437923084
280,นำเข้า,2552,07,24703689262
281,ส่งออก,2552,07,82662006786
282,ส่งออก,2552,06,82360051770
283,นำเข้า,2552,06,23385837563
284,นำเข้า,2552,05,21554680491
285,ส่งออก,2552,05,76682596607
286,ส่งออก,2552,04,71957082056
287,นำเข้า,2552,04,21936265491
288,นำเข้า,2552,03,20944262068
289,ส่งออก,2552,03,76669230029
290,ส่งออก,2552,02,70389525946
291,นำเข้า,2552,02,19225273302
292,ส่งออก,2552,01,62979098564
293,นำเข้า,2552,01,18258579320
294,ส่งออก,2551,12,68791125795
295,นำเข้า,2551,12,26021283787
296,ส่งออก,2551,11,70684641096
297,นำเข้า,2551,11,27188242350
298,นำเข้า,2551,10,33186998487
299,ส่งออก,2551,10,94787353988
300,นำเข้า,2551,09,27717651456
301,ส่งออก,2551,09,97190214662
302,นำเข้า,2551,08,28912596937
303,ส่งออก,2551,08,101294801575
304,นำเข้า,2551,07,27987801616
305,ส่งออก,2551,07,111035025929
306,ส่งออก,2551,06,97027062689
307,นำเข้า,2551,06,24436725147
308,นำเข้า,2551,05,25456017305
309,ส่งออก,2551,05,89879726661
310,ส่งออก,2551,04,81156782610
311,นำเข้า,2551,04,24781200684
312,นำเข้า,2551,03,24930952054
313,ส่งออก,2551,03,86951885208
314,ส่งออก,2551,02,73519054957
315,นำเข้า,2551,02,22517567889
316,ส่งออก,2551,01,81965046979
317,นำเข้า,2551,01,26826217531
