"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"วันขึ้นปีใหม่","20210101",,,,"true","วันศุกร์ แรม 3 ค่ำ เดือนยี่ (๒) ปีชวด","3",""
"วันตรุษจีน","20210212",,,,"true","วันศุกร์ ขึ้น 1 ค่ำ เดือนสี่ (๔) ปีชวด","3",""
"วันมาฆบูชา","20210226",,,,"true","วันศุกร์ ขึ้น 15 ค่ำ เดือนสี่ (๔) ปีชวด","3",""
"วันจักรี","20210406",,,,"true","วันอังคาร แรม 9 ค่ำ เดือนห้า (๕) ปีฉลู","3",""
"วันสงกรานต์ (ครม.)","20210412",,,,"true","วันจันทร์ ขึ้น 1 ค่ำ เดือนหก (๖) ปีฉลู","3",""
"วันสงกรานต์","20210413",,,,"true","วันอังคาร ขึ้น 2 ค่ำ เดือนหก (๖) ปีฉลู","3",""
"วันสงกรานต์","20210414",,,,"true","วันพุธ ขึ้น 3 ค่ำ เดือนหก (๖) ปีฉลู","3",""
"วันสงกรานต์","20210415",,,,"true","วันพฤหัสบดี ขึ้น 4 ค่ำ เดือนหก (๖) ปีฉลู","3",""
"วันแรงงาน (เอกชน)","20210501",,,,"true","วันเสาร์ แรม 5 ค่ำ เดือนหก (๖) ปีฉลู","3",""
"วันฉัตรมงคล","20210504",,,,"true","วันอังคาร แรม 8 ค่ำ เดือนหก (๖) ปีฉลู","3",""
"วันพืชมงคล (ราชการ) , วันหยุดราชการ (ภาคอีสาน)","20210510",,,,"true","วันจันทร์ แรม 14 ค่ำ เดือนหก (๖) ปีฉลู","3",""
"วันวิสาขบูชา","20210526",,,,"true","วันพุธ ขึ้น 15 ค่ำ เดือนเจ็ด (๗) ปีฉลู","3",""
"วันอัฏฐมีบูชา วันเฉลิมฯ พระบรมราชินี","20210603",,,,"true","วันพฤหัสบดี แรม 8 ค่ำ เดือนเจ็ด (๗) ปีฉลู","3",""
"วันอาสาฬหบูชา","20210724",,,,"true","วันเสาร์ ขึ้น 15 ค่ำ เดือนแปดหลัง (๘๘) ปีฉลู","3",""
"วันเข้าพรรษา (ราชการ)","20210725",,,,"true","วันอาทิตย์ แรม 1 ค่ำ เดือนแปดหลัง (๘๘) ปีฉลู","3",""
"วันหยุดชดเชย","20210726",,,,"true","วันจันทร์ แรม 2 ค่ำ เดือนแปดหลัง (๘๘) ปีฉลู","3",""
"วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว","20210728",,,,"true","วันพุธ แรม 4 ค่ำ เดือนแปดหลัง (๘๘) ปีฉลู","3",""
"วันแม่","20210812",,,,"true","วันพฤหัสบดี ขึ้น 4 ค่ำ เดือนเก้า (๙) ปีฉลู","3",""
"วันมหิดล (ครม.)","20210924",,,,"true","วันศุกร์ แรม 3 ค่ำ เดือนสิบ (๑๐) ปีฉลู","3",""
"วันนวมินทรมหาราช","20211013",,,,"true","วันพุธ ขึ้น 7 ค่ำ เดือนสิบเอ็ด (๑๑) ปีฉลู","3",""
"วันหยุดชดเชย","20211022",,,,"true","วันศุกร์ แรม 1 ค่ำ เดือนสิบเอ็ด (๑๑) ปีฉลู","3",""
"วันปิยมหาราช","20211023",,,,"true","วันเสาร์ แรม 2 ค่ำ เดือนสิบเอ็ด (๑๑) ปีฉลู","3",""
"วันพ่อ","20211205",,,,"true","วันอาทิตย์ ขึ้น 1 ค่ำ เดือนอ้าย (๑) ปีฉลู","3",""
"วันหยุดชดเชย","20211206",,,,"true","วันจันทร์ ขึ้น 2 ค่ำ เดือนอ้าย (๑) ปีฉลู","3",""
"วันรัฐธรรมนูญ","20211210",,,,"true","วันศุกร์ ขึ้น 6 ค่ำ เดือนอ้าย (๑) ปีฉลู","3",""
"วันสิ้นปี","20211231",,,,"true","วันศุกร์ แรม 12 ค่ำ เดือนอ้าย (๑) ปีฉลู","3",""
