date,min-max,average_price
10 ม.ค. 2565,20 - 25,22.50 
11 ม.ค. 2565,20 - 25,22.50 
12 ม.ค. 2565,20 - 25,22.50 
13 ม.ค. 2565,20 - 25,22.50 
14 ม.ค. 2565,20 - 25,22.50 
17 ม.ค. 2565,20 - 25,22.50 
18 ม.ค. 2565,20 - 25,22.50 
19 ม.ค. 2565,25 - 30,27.50 
20 ม.ค. 2565,25 - 30,27.50 
21 ม.ค. 2565,25 - 30,27.50 
24 ม.ค. 2565,25 - 30,27.50 
25 ม.ค. 2565,30 - 35,32.50 
26 ม.ค. 2565,30 - 35,32.50 
27 ม.ค. 2565,30 - 35,32.50 
28 ม.ค. 2565,30 - 35,32.50 
31 ม.ค. 2565,25 - 30,27.50 
01 ก.พ. 2565,25 - 30,27.50 
02 ก.พ. 2565,25 - 30,27.50 
03 ก.พ. 2565,25 - 30,27.50 
04 ก.พ. 2565,30 - 35,32.50 
07 ก.พ. 2565,30 - 35,32.50 
08 ก.พ. 2565,30 - 35,32.50 
09 ก.พ. 2565,30 - 35,32.50 
