"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"วันขึ้นปีใหม่","20230101",,,,"true","วันอาทิตย์ ขึ้น 10 ค่ำ เดือนยี่ (๒) ปีขาล","3",""
"วันหยุดชดเชย","20230102",,,,"true","วันจันทร์ ขึ้น 11 ค่ำ เดือนยี่ (๒) ปีขาล","3",""
"วันมาฆบูชา","20230306",,,,"true","วันจันทร์ ขึ้น 15 ค่ำ เดือนสี่ (๔) ปีขาล","3",""
"วันจักรี","20230406",,,,"true","วันพฤหัสบดี แรม 1 ค่ำ เดือนห้า (๕) ปีเถาะ","3",""
"วันสงกรานต์","20230413",,,,"true","วันพฤหัสบดี แรม 8 ค่ำ เดือนห้า (๕) ปีเถาะ","3",""
"วันสงกรานต์","20230414",,,,"true","วันศุกร์ แรม 9 ค่ำ เดือนห้า (๕) ปีเถาะ","3",""
"วันสงกรานต์","20230415",,,,"true","วันเสาร์ แรม 10 ค่ำ เดือนห้า (๕) ปีเถาะ","3",""
"วันสงกรานต์","20230417",,,,"true","วันจันทร์ แรม 12 ค่ำ เดือนห้า (๕) ปีเถาะ","3",""
"วันแรงงาน (เอกชน)","20230501",,,,"true","วันจันทร์ ขึ้น 12 ค่ำ เดือนหก (๖) ปีเถาะ","3",""
"วันฉัตรมงคล","20230504",,,,"true","วันพฤหัสบดี ขึ้น 15 ค่ำ เดือนหก (๖) ปีเถาะ","3",""
"วันหยุดพิเศษ (ครม.)","20230505",,,,"true","วันศุกร์ แรม 1 ค่ำ เดือนหก (๖) ปีเถาะ","3",""
"วันพืชมงคล (ราชการ)","20230517",,,,"true","วันพุธ แรม 13 ค่ำ เดือนหก (๖) ปีเถาะ","3",""
"วันวิสาขบูชา วันเฉลิมฯ พระบรมราชินี","20230603",,,,"true","วันเสาร์ ขึ้น 15 ค่ำ เดือนเจ็ด (๗) ปีเถาะ","3",""
"วันหยุดชดเชย","20230605",,,,"true","วันจันทร์ แรม 2 ค่ำ เดือนเจ็ด (๗) ปีเถาะ","3",""
"วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว","20230728",,,,"true","วันศุกร์ ขึ้น 11 ค่ำ เดือนแปดหลัง (๘๘) ปีเถาะ","3",""
"วันหยุดพิเศษ (ครม.)","20230731",,,,"true","วันจันทร์ ขึ้น 14 ค่ำ เดือนแปดหลัง (๘๘) ปีเถาะ","3",""
"วันอาสาฬหบูชา","20230801",,,,"true","วันอังคาร ขึ้น 15 ค่ำ เดือนแปดหลัง (๘๘) ปีเถาะ","3",""
"วันเข้าพรรษา (ราชการ)","20230802",,,,"true","วันพุธ แรม 1 ค่ำ เดือนแปดหลัง (๘๘) ปีเถาะ","3",""
"วันแม่","20230812",,,,"true","วันเสาร์ แรม 11 ค่ำ เดือนแปดหลัง (๘๘) ปีเถาะ","3",""
"วันหยุดชดเชย","20230814",,,,"true","วันจันทร์ แรม 13 ค่ำ เดือนแปดหลัง (๘๘) ปีเถาะ","3",""
"วันนวมินทรมหาราช","20231013",,,,"true","วันศุกร์ แรม 14 ค่ำ เดือนสิบ (๑๐) ปีเถาะ","3",""
"วันปิยมหาราช","20231023",,,,"true","วันจันทร์ ขึ้น 9 ค่ำ เดือนสิบเอ็ด (๑๑) ปีเถาะ","3",""
"วันพ่อ","20231205",,,,"true","วันอังคาร แรม 8 ค่ำ เดือนสิบสอง (๑๒) ปีเถาะ","3",""
"วันรัฐธรรมนูญ","20231210",,,,"true","วันอาทิตย์ แรม 13 ค่ำ เดือนสิบสอง (๑๒) ปีเถาะ","3",""
"วันหยุดชดเชย","20231211",,,,"true","วันจันทร์ แรม 14 ค่ำ เดือนสิบสอง (๑๒) ปีเถาะ","3",""
"วันหยุดชดเชย (ครม.)","20231229",,,,"true","วันศุกร์ แรม 2 ค่ำ เดือนอ้าย (๑) ปีเถาะ","3",""
"วันสิ้นปี","20231231",,,,"true","วันอาทิตย์ แรม 4 ค่ำ เดือนอ้าย (๑) ปีเถาะ","3",""
