date,min-max,average_price
18 มี.ค. 2564,18 - 20,19.00 
19 มี.ค. 2564,18 - 20,19.00 
22 มี.ค. 2564,22 - 25,23.50 
23 มี.ค. 2564,22 - 25,23.50 
24 มี.ค. 2564,22 - 25,23.50 
25 มี.ค. 2564,22 - 25,23.50 
26 มี.ค. 2564,22 - 25,23.50 
29 มี.ค. 2564,22 - 25,23.50 
30 มี.ค. 2564,22 - 25,23.50 
31 มี.ค. 2564,22 - 25,23.50 
01 เม.ย. 2564,28 - 30,29.00 
02 เม.ย. 2564,28 - 30,29.00 
05 เม.ย. 2564,28 - 30,29.00 
07 เม.ย. 2564,28 - 30,29.00 
08 เม.ย. 2564,22 - 25,23.50 
09 เม.ย. 2564,22 - 25,23.50 
16 เม.ย. 2564,22 - 25,23.50 
19 เม.ย. 2564,22 - 25,23.50 
20 เม.ย. 2564,22 - 25,23.50 
21 เม.ย. 2564,20 - 22,21.00 
22 เม.ย. 2564,20 - 22,21.00 
23 เม.ย. 2564,20 - 22,21.00 
26 เม.ย. 2564,20 - 22,21.00 
27 เม.ย. 2564,20 - 22,21.00 
28 เม.ย. 2564,20 - 22,21.00 
29 เม.ย. 2564,20 - 22,21.00 
30 เม.ย. 2564,18 - 20,19.00 
03 พ.ค. 2564,18 - 20,19.00 
05 พ.ค. 2564,18 - 20,19.00 
06 พ.ค. 2564,18 - 20,19.00 
07 พ.ค. 2564,18 - 20,19.00 
11 พ.ค. 2564,18 - 20,19.00 
12 พ.ค. 2564,15 - 18,16.50 
13 พ.ค. 2564,15 - 18,16.50 
14 พ.ค. 2564,15 - 18,16.50 
17 พ.ค. 2564,15 - 18,16.50 
18 พ.ค. 2564,15 - 18,16.50 
19 พ.ค. 2564,20 - 22,21.00 
20 พ.ค. 2564,20 - 22,21.00 
21 พ.ค. 2564,20 - 22,21.00 
24 พ.ค. 2564,22 - 25,23.50 
25 พ.ค. 2564,22 - 25,23.50 
27 พ.ค. 2564,25 - 30,27.50 
28 พ.ค. 2564,22 - 25,23.50 
31 พ.ค. 2564,22 - 25,23.50 
01 มิ.ย. 2564,22 - 25,23.50 
02 มิ.ย. 2564,22 - 25,23.50 
04 มิ.ย. 2564,22 - 25,23.50 
07 มิ.ย. 2564,22 - 25,23.50 
08 มิ.ย. 2564,22 - 25,23.50 
09 มิ.ย. 2564,28 - 30,29.00 
10 มิ.ย. 2564,28 - 30,29.00 
11 มิ.ย. 2564,28 - 30,29.00 
14 มิ.ย. 2564,25 - 28,26.50 
15 มิ.ย. 2564,25 - 28,26.50 
16 มิ.ย. 2564,22 - 25,23.50 
17 มิ.ย. 2564,22 - 25,23.50 
18 มิ.ย. 2564,22 - 25,23.50 
21 มิ.ย. 2564,22 - 25,23.50 
22 มิ.ย. 2564,22 - 25,23.50 
23 มิ.ย. 2564,22 - 25,23.50 
24 มิ.ย. 2564,18 - 20,19.00 
25 มิ.ย. 2564,18 - 20,19.00 
28 มิ.ย. 2564,18 - 20,19.00 
29 มิ.ย. 2564,18 - 20,19.00 
30 มิ.ย. 2564,18 - 20,19.00 
01 ก.ค. 2564,18 - 20,19.00 
02 ก.ค. 2564,18 - 20,19.00 
05 ก.ค. 2564,15 - 18,16.50 
06 ก.ค. 2564,15 - 18,16.50 
07 ก.ค. 2564,15 - 18,16.50 
08 ก.ค. 2564,12 - 15,13.50 
09 ก.ค. 2564,12 - 15,13.50 
12 ก.ค. 2564,12 - 15,13.50 
13 ก.ค. 2564,10 - 13,11.50 
14 ก.ค. 2564,10 - 13,11.50 
15 ก.ค. 2564,14 - 15,14.50 
16 ก.ค. 2564,14 - 15,14.50 
19 ก.ค. 2564,14 - 15,14.50 
20 ก.ค. 2564,18 - 20,19.00 
21 ก.ค. 2564,15 - 18,16.50 
22 ก.ค. 2564,15 - 18,16.50 
23 ก.ค. 2564,18 - 20,19.00 
27 ก.ค. 2564,15 - 18,16.50 
29 ก.ค. 2564,18 - 20,19.00 
30 ก.ค. 2564,18 - 20,19.00 
02 ส.ค. 2564,18 - 20,19.00 
03 ส.ค. 2564,18 - 20,19.00 
04 ส.ค. 2564,18 - 20,19.00 
05 ส.ค. 2564,15 - 18,16.50 
06 ส.ค. 2564,15 - 18,16.50 
09 ส.ค. 2564,15 - 18,16.50 
10 ส.ค. 2564,15 - 18,16.50 
11 ส.ค. 2564,15 - 18,16.50 
13 ส.ค. 2564,18 - 20,19.00 
16 ส.ค. 2564,18 - 20,19.00 
17 ส.ค. 2564,18 - 20,19.00 
18 ส.ค. 2564,18 - 20,19.00 
19 ส.ค. 2564,18 - 20,19.00 
20 ส.ค. 2564,18 - 20,19.00 
23 ส.ค. 2564,25 - 28,26.50 
24 ส.ค. 2564,22 - 25,23.50 
25 ส.ค. 2564,22 - 25,23.50 
26 ส.ค. 2564,28 - 30,29.00 
27 ส.ค. 2564,28 - 30,29.00 
30 ส.ค. 2564,28 - 30,29.00 
31 ส.ค. 2564,30 - 35,32.50 
01 ก.ย. 2564,30 - 35,32.50 
02 ก.ย. 2564,30 - 35,32.50 
03 ก.ย. 2564,25 - 30,27.50 
06 ก.ย. 2564,30 - 35,32.50 
07 ก.ย. 2564,30 - 35,32.50 
08 ก.ย. 2564,30 - 35,32.50 
09 ก.ย. 2564,35 - 40,37.50 
10 ก.ย. 2564,35 - 40,37.50 
13 ก.ย. 2564,25 - 30,27.50 
14 ก.ย. 2564,25 - 30,27.50 
15 ก.ย. 2564,25 - 30,27.50 
16 ก.ย. 2564,30 - 35,32.50 
17 ก.ย. 2564,30 - 35,32.50 
20 ก.ย. 2564,25 - 30,27.50 
21 ก.ย. 2564,25 - 30,27.50 
