"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"วันขึ้นปีใหม่","20240101",,,,"true","วันจันทร์ แรม 5 ค่ำ เดือนอ้าย (๑) ปีเถาะ","3",""
"วันมาฆบูชา","20240224",,,,"true","วันเสาร์ ขึ้น 15 ค่ำ เดือนสาม (๓) ปีเถาะ","3",""
"วันหยุดชดเชย","20240226",,,,"true","วันจันทร์ แรม 2 ค่ำ เดือนสาม (๓) ปีเถาะ","3",""
"วันจักรี","20240406",,,,"true","วันเสาร์ แรม 13 ค่ำ เดือนสี่ (๔) ปีเถาะ","3",""
"วันหยุดชดเชย","20240408",,,,"true","วันจันทร์ แรม 15 ค่ำ เดือนสี่ (๔) ปีเถาะ","3",""
"วันหยุดพิเศษ (ครม.)","20240412",,,,"true","วันศุกร์ ขึ้น 4 ค่ำ เดือนห้า (๕) ปีมะโรง","3",""
"วันสงกรานต์","20240413",,,,"true","วันเสาร์ ขึ้น 5 ค่ำ เดือนห้า (๕) ปีมะโรง","3",""
"วันสงกรานต์","20240414",,,,"true","วันอาทิตย์ ขึ้น 6 ค่ำ เดือนห้า (๕) ปีมะโรง","3",""
"วันสงกรานต์","20240415",,,,"true","วันจันทร์ ขึ้น 7 ค่ำ เดือนห้า (๕) ปีมะโรง","3",""
"วันหยุดชดเชย","20240416",,,,"true","วันอังคาร ขึ้น 8 ค่ำ เดือนห้า (๕) ปีมะโรง","3",""
"วันแรงงาน (เอกชน)","20240501",,,,"true","วันพุธ แรม 8 ค่ำ เดือนห้า (๕) ปีมะโรง","3",""
"วันฉัตรมงคล","20240504",,,,"true","วันเสาร์ แรม 11 ค่ำ เดือนห้า (๕) ปีมะโรง","3",""
"วันหยุดชดเชย","20240506",,,,"true","วันจันทร์ แรม 13 ค่ำ เดือนห้า (๕) ปีมะโรง","3",""
"วันพืชมงคล (ราชการ)","20240510",,,,"true","วันศุกร์ ขึ้น 3 ค่ำ เดือนหก (๖) ปีมะโรง","3",""
"วันวิสาขบูชา","20240522",,,,"true","วันพุธ ขึ้น 15 ค่ำ เดือนหก (๖) ปีมะโรง","3",""
"วันเฉลิมฯ พระบรมราชินี","20240603",,,,"true","วันจันทร์ แรม 12 ค่ำ เดือนหก (๖) ปีมะโรง","3",""
"วันอาสาฬหบูชา","20240720",,,,"true","วันเสาร์ ขึ้น 15 ค่ำ เดือนแปด (๘) ปีมะโรง","3",""
"วันเข้าพรรษา (ราชการ)","20240721",,,,"true","วันอาทิตย์ แรม 1 ค่ำ เดือนแปด (๘) ปีมะโรง","3",""
"วันหยุดชดเชย","20240722",,,,"true","วันจันทร์ แรม 2 ค่ำ เดือนแปด (๘) ปีมะโรง","3",""
"วันเฉลิมฯ พระวชิรเกล้าเจ้าอยู่หัว","20240728",,,,"true","วันอาทิตย์ แรม 8 ค่ำ เดือนแปด (๘) ปีมะโรง","3",""
"วันหยุดชดเชย","20240729",,,,"true","วันจันทร์ แรม 9 ค่ำ เดือนแปด (๘) ปีมะโรง","3",""
"วันแม่","20240812",,,,"true","วันจันทร์ ขึ้น 8 ค่ำ เดือนเก้า (๙) ปีมะโรง","3",""
"วันนวมินทรมหาราช","20241013",,,,"true","วันอาทิตย์ ขึ้น 11 ค่ำ เดือนสิบเอ็ด (๑๑) ปีมะโรง","3",""
"วันหยุดชดเชย","20241014",,,,"true","วันจันทร์ ขึ้น 12 ค่ำ เดือนสิบเอ็ด (๑๑) ปีมะโรง","3",""
"วันปิยมหาราช","20241023",,,,"true","วันพุธ แรม 6 ค่ำ เดือนสิบเอ็ด (๑๑) ปีมะโรง","3",""
"วันพ่อ","20241205",,,,"true","วันพฤหัสบดี ขึ้น 5 ค่ำ เดือนอ้าย (๑) ปีมะโรง","3",""
"วันรัฐธรรมนูญ","20241210",,,,"true","วันอังคาร ขึ้น 10 ค่ำ เดือนอ้าย (๑) ปีมะโรง","3",""
"วันหยุดพิเศษ (ครม.)","20241230",,,,"true","วันจันทร์ ขึ้น 1 ค่ำ เดือนยี่ (๒) ปีมะโรง","3",""
"วันสิ้นปี","20241231",,,,"true","วันอังคาร ขึ้น 2 ค่ำ เดือนยี่ (๒) ปีมะโรง","3",""
